law,field,value,source_url,quote,pattern
sb8,enacted,"September 16, 2021",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB8,"Approved by Governor September 16, 2021.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb8,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB8,"SB 8, Skinner. Housing Crisis Act of 2019.","SB 8, Skinner\. Housing Crisis Act of 2019\."
sb8,sunset,"January 1, 2030",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB8,"remain in effect only until January 1, 2030","remain in effect only until (?P<v>January 1, 2030)"
sb9,chapter,162,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB9,Senate Bill No. 9 CHAPTER 162,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb9,enacted,"September 16, 2021",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB9,"Approved by Governor September 16, 2021.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb9,effective,"January 1, 2022",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=66452.6,"Stats. 2021, Ch. 162, Sec. 3. (SB 9) Effective January 1, 2022","Stats\. 2021, Ch\. 162, Sec\. [\d.]+\. \(SB\ 9\) Effective (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})"
sb9,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB9,"SB 9, Atkins. Housing development: approvals.","SB 9, Atkins\. Housing development: approvals\."
sb9,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB9,"shall ministerially approve, as set forth in this section, a parcel map for an urban lot split","shall ministerially approve, as set forth in this section, a parcel map for an urban lot split"
sb10,chapter,163,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB10,Senate Bill No. 10 CHAPTER 163,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb10,enacted,"September 16, 2021",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB10,"Approved by Governor September 16, 2021.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb10,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB10,"SB 10, Wiener. Planning and zoning: housing development: density.","SB 10, Wiener\. Planning and zoning: housing development: density\."
sb10,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB10,"up to 10 units of residential density per parcel, at a height specified in the ordinance","up to 10 units of residential density per parcel, at a height specified in the ordinance"
ab2011,chapter,647,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,Assembly Bill No. 2011 CHAPTER 647,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab2011,enacted,"September 28, 2022",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,"Approved by Governor September 28, 2022.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab2011,effective,"January 1, 2023",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65912.100,"Stats. 2022, Ch. 647, Sec. 3. (AB 2011) Effective January 1, 2023","Stats\. 2022, Ch\. 647, Sec\. [\d.]+\. \(AB\ 2011\) Effective (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})"
ab2011,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,"AB 2011, Wicks. Affordable Housing and High Road Jobs Act of 2022.","AB 2011, Wicks\. Affordable Housing and High Road Jobs Act of 2022\."
ab2011,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,"use by right and subject to one of 2 streamlined, ministerial review processes","use by right and subject to one of 2 streamlined, ministerial review processes"
ab2011,sunset,"January 1, 2033",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,"January 1, 2033, and as of that date is repealed","(?P<v>January 1, 2033), and as of that date is repealed"
ab2011,operative,"July 1, 2023",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2011,"July 1, 2023. Digest Key Vote","(?P<v>July 1, 2023)\. Digest Key Vote"
sb6,chapter,659,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,Senate Bill No. 6 CHAPTER 659,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb6,enacted,"September 28, 2022",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,"Approved by Governor September 28, 2022.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb6,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,"SB 6, Caballero. Local planning: housing: commercial zones.","SB 6, Caballero\. Local planning: housing: commercial zones\."
