case_number,hearing_date,request_type,project_address,block,lot
2003.1282D,2004-04-22,discretionary_review,309 cortland avenue,5667,17
2002.0731D,2004-05-06,discretionary_review,3410 california street,1019,9
2003.0091D,2004-05-06,discretionary_review,1478 12th avenue,1842,26
2003.1216D,2004-05-13,discretionary_review,122 maynard street,5894,40
2003.1255DD,2004-05-20,discretionary_review,2051-2057 green street,556,26
2003.0304CV,2004-05-27,conditional_use,829 folsom street,3752,91
2003.1048CTV,2004-05-27,variance,4800 third street,5322,45
2003.0091D,2004-06-03,discretionary_review,1234 19th Avenue,1732,38
2003.1267D,2004-06-03,discretionary_review,952 deharo street,4095,27
2004.0071D,2004-06-10,discretionary_review,406 Mississippi Street,4065,1A
2003.0741D,2004-06-24,discretionary_review,580 oak park drive,2676,30
2004.0125DD,2004-06-24,discretionary_review,556 valley street,6611,18
2004.0126DD,2004-06-24,discretionary_review,558 valley street,6611,18
2003.0735C,2004-07-15,conditional_use,459-495 9th avenue,1535,10B;16;49;28;29
2003.1196D,2004-07-15,discretionary_review,3871 19th street,3600,96
2003.1285D,2004-07-15,discretionary_review,3340 baker street,923,25
2003.1254D,2004-07-22,discretionary_review,170 st. germain avenue,2708,9
2004.0299DDD,2004-07-22,discretionary_review,2011 9th avenue,2129,1P
2003.1283D,2004-08-05,discretionary_review,2626 Balboa Street,1570,11A
2004.0422D,2004-08-05,discretionary_review,500 divisadero street,1203,17A
2004.0423D,2004-08-05,discretionary_review,378 20th Avenue,1451,27
2004.0483C,2004-08-05,conditional_use,1220 polk street,669,11
2004.0604D,2004-08-05,discretionary_review,375 Alabama Street,3966,2
2003.1217D,2004-08-12,discretionary_review,342 21st avenue,1452,33
2003.1226DV,2004-09-02,discretionary_review,266-270 14th Street,3531,20
2004.0365DD,2004-09-02,discretionary_review,850 45th avenue,1687,24
2004.0635D,2004-09-02,discretionary_review,3150 18th Street,3573,2;12
2004.0761D,2004-09-02,discretionary_review,971 capp street,6518,17
2004.0070V,2004-09-09,variance,23 eureka street,2649,48
2004.0506D,2004-09-09,discretionary_review,464 30th Street,6639,20
2004.0535D,2004-09-09,discretionary_review,1644 diamond street,7520,7
2004.0535DD,2004-09-09,discretionary_review,2059 23rd avenue,2143,15
