case_number,motion_number,hearing_date,request_type,project_address,block,lot
2001.0841C,16335,2002-01-24,conditional_use,448 Cortland Avenue,5678,1
2001.0994C,16334,2002-01-24,conditional_use,5700 mission street,7109,1
2000.1141C,16340,2002-02-07,conditional_use,2346-2348 clement street,1409,25
2001.1026C,16339,2002-02-07,conditional_use,1239 9th Avenue,1714,6
2001.0954C,16348,2002-02-21,conditional_use,420 29th Avenue,1460,15
2000.1130C,16352,2002-02-28,conditional_use,6-8 Locksley Avenue,2636,3
2001.0536C,16355,2002-02-28,conditional_use,2696 Geary Boulevard,1071,4
2001.0800CD,16356,2002-02-28,conditional_use,301 guerrero street,3555,35
2001.1109C,16354,2002-02-28,conditional_use,2696 geary boulevard,1071,4
2001.1142C,16353,2002-02-28,conditional_use,20 Woodside Avenue,2888A,1
2000.809C,16362,2002-03-14,conditional_use,"522, 550, and 552 carter street, 105 walbridge street",6428,2;3;4;6
2001.0716CEKV,16361,2002-03-14,conditional_use,755 eddy street,742,10
2001.1169C,16364,2002-03-21,conditional_use,1101-1123 Fillmore Street,755,2
2002.0068C,16365,2002-03-21,conditional_use,965 sutter street,300,22
2002.0060C,16367,2002-04-04,conditional_use,2325 Union Street,538,22
2002.0182C,16368,2002-04-04,conditional_use,141 mason street,331,3
2001.0847C,16373,2002-04-11,conditional_use,755 ocean avenue,6948,23
2001.0864CV,16374,2002-04-11,conditional_use_modification,900 balboa street,1553,18
2001.1027CR,16372,2002-04-11,conditional_use,3224-3252 Pierce Street,490,9;10;11;12;13
2001.1098H,16379,2002-04-18,historic,216 stockton street,309,13
2002.0012C,16377,2002-04-18,conditional_use,434 harrison street,3748,12
2002.0057C,16382,2002-04-18,conditional_use,5200 Geary Boulevard,1448,45
2002.0069CV,16380,2002-04-18,conditional_use,"2559, 2563-2567 san bruno avenue",5438,27;28;29
2002.0194C,16381,2002-04-18,conditional_use,464 Broadway,144,14
2000.0882PR,16386,2002-04-25,coastal,99 harding road,7283,
2001.0995CV,16390,2002-04-25,conditional_use,3130-3154 noriega street,2011,7
2002.0192C,16385,2002-04-25,conditional_use,2215-2217 union street,539,1A
2001.0197C,16405,2002-05-09,conditional_use,951-957 mission street,3725,88
2002.0013ECV,16406,2002-05-09,conditional_use,5199 mission street,6463,57;58
2000.1061ECK,16408,2002-05-16,conditional_use,400 paul avenue,5431A,14
2000.718CEKV,16409,2002-05-16,conditional_use,1630 california street,643,3
2000.790KEXCTZM,16410,2002-05-23,planning_code_amendment,888 Howard Street,3724,66
2000.965EKXC,16413,2002-05-23,downtown_project,949-961 market street,3704,71
2002.0321CD,16415,2002-05-23,conditional_use,3003/3005 - 23rd street,3640,1
2002.0323CD,16416,2002-05-23,conditional_use,3007/3009 - 23rd Street,3640,1
2002.0314CV,16419,2002-05-30,conditional_use,4601 3rd street,5306,4;29
2001.0494CDV,16425,2002-06-06,conditional_use,1475-79 folsom street,3520,30B;30C
2001.0789C,16430,2002-06-06,conditional_use,597-599 monterey boulevard,3116,28
